"date","sample_location","time1","vocs1_ppm","temp1_f","humidity1","observations1","time2","vocs2_ppm","temp2_f","humidity2","observations2","time3","vocs3_ppm","temp3_f","humidity3","observations3"
"2018-09-13T00:00:00.000","Exman room"," 08:09:00","<0.1","71.9","84.4",,,,,,"No access",,,,,"No access"
"2018-09-11T00:00:00.000","Hallway",,"<0.1","74.9","84.2",," 16:04:00","0.1","77.1","79.1",,,,,,
"2018-09-14T00:00:00.000","Elevator 2 (L)",,,,,"No access"," 17:01:00","0.2","75.9","71.4",,"22:06:00","0.1","76.2","74.2",
"2018-09-09T00:00:00.000","9th Floor"," 08:46:00","0.2","77.4","52.8",," 16:22:00","0.4","78.6","59.9",,"10:42:00","0.3","77.2","54.4",
"2018-09-08T00:00:00.000","Boiler/tank room"," 10:02:00","<0.1","82","56.9",," 15:55:00","<0.1","81.7","47.6",,"23:06:00","<0.1","79.6","61.1",
"2018-09-12T00:00:00.000","Boiler/tank room"," 11:21:00","<0.1","80.9",,"1899-12-31T16:14:00","<0.1","81.6",,"1899-12-31T22:18:00","<0.1","82.7",,,,
"2018-09-08T00:00:00.000","10th Floor"," 10:26:00","0.3","80.9","51.3",," 15:38:00","0.3","80.5","45.2",,"22:52:00","0.2","79.6","54.3",
"2018-09-13T00:00:00.000","Paint Room"," 08:11:00","<0.1","74.4","86.9",," 16:10:00","<0.1","77.1","83.9",,"22:07:00","<0.1","76.1","89.7",
"2018-09-09T00:00:00.000","13th Floor"," 08:43:00","0.3","75.2","58.8",," 16:16:00","0.4","78.1","58.5","Cooking Odor","10:37:00","0.3","76","54.6",
"2018-09-13T00:00:00.000","7th Floor"," 08:27:00","0.6","78.2","75.2","Cooking odor"," 16:27:00","0.3","78.6","76.2","Cooking odor","22:59:00","0.1","78.7","69.9",
"2018-09-12T00:00:00.000","7th Floor"," 11:39:00","0.7","77.5","insect killer odor","1899-12-31T16:31:00","0.4","77.8",,"1899-12-31T22:35:00","0.3","78.1",,,,
"2018-09-09T00:00:00.000","16th Floor"," 08:41:00","0.1","71.8","70.0",," 16:10:00","0.2","75.7","62.9",,"10:35:00","0.2","73.5","60.1",
"2018-09-12T00:00:00.000","Main area"," 11:17:00","<0.1","75.2","Door open","1899-12-31T16:11:00","<0.1","76.7",,"1899-12-31T22:15:00","<0.1","74",,,,
"2018-09-11T00:00:00.000","11th Floor",,"0.2","75.9","74.4",," 16:26:00","0.3","77.0","79.6",,,,,,
"2018-09-12T00:00:00.000","11th Floor"," 11:36:00","0.4","77.3",,"1899-12-31T16:28:00","0.4","77.5",,"1899-12-31T22:30:00","0.3","77.7",,,,
"2018-09-08T00:00:00.000","1st Floor"," 10:10:00","0.1","75.8","62.2",," 15:26:00","0.1","80.3","44.1",,"22:25:00","0.1","68.9","78.2",
